"","x"
"408","(She hands him a clip-board stuffed with papers for his signature)"
"409","PIKE:Oh. Oh yes. The reports. Thank you. "
"410","COLT:Sir, I was wondering. Just curious. Who would have been Eve? "
"411","ONE:Yeoman! You've delivered your report. "
"412","COLT:Yes, ma'am. Yes, sir. "
"413","TYLER:Eve, sir? Yes, sir. "
"414","BOYCE:Eve as in Adam? "
"415","PIKE:As in all ship's doctors are dirty old men. What are we running here, a cadet ship, Number One? Are we ready or not? "
"416","ONE:All decks show ready, sir. "
"417","PIKE:Engage."
